																															Class	Blank	Blank	Blank	hyuA	hyuA	hyuA	WT	WT	WT	NA	NA	NA	NA	NA	NA
																															File type	Blank	Blank	Blank	Sample	Sample	Sample	Sample	Sample	Sample	NA	NA	NA	NA	NA	NA
																															Injection order	1	2	3	4	5	6	7	8	9	NA	NA	NA	NA	NA	NA
																															Batch ID	1	1	1	1	1	1	1	1	1	Average	Average	Average	Stdev	Stdev	Stdev
Alignment ID	Average Rt(min)	Average Mz	Metabolite name	Adduct type	Post curation result	Fill %	MS/MS assigned	Reference RT	Reference m/z	Formula	Ontology	INCHIKEY	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	Comment	Manually modified for quantification	Manually modified for annotation	Isotope tracking parent ID	Isotope tracking weight number	Total score	RT similarity	Dot product	Reverse dot product	Fragment presence %	S/N average	Spectrum reference file name	MS1 isotopic spectrum	MS/MS spectrum	GAM_UA_1	GAM_UA_2	GAM_UA_3	hyuA_UA_1	hyuA_UA_2	hyuA_UA_3	WT_UA_1	WT_UA_2	WT_UA_3	Blank	hyuA	WT	Blank	hyuA	WT
106	4.563	101.05936	Unknown	[M+H]+	similar chromatogram in higher mz_1541; similar chromatogram in higher mz_2917; similar chromatogram in higher mz_4055	1	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	1856.42	WT_UA_1	101.05936:854831 102.06271:46452 103.06607:3784		17723	17001	17467	2708316	2574500	2651416	2832044	2687010	2613040	17397.0924479167	2644743.91666667	2710698.16666667	366.023871025528	67157.5192534003	111406.660144921
125	0.781	104.07034	Unknown	[M+H]+		0.111	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	15.97	hyuA_UA_2	104.07034:8508 105.07369:994 106.07705:0		3674	2677	3315	17460	29179	24783	14301	19080	20628	3222.28328450521	23807.12890625	18002.8349609375	504.796547195126	5920.04239182534	3297.95000745201
126	5.056	104.07035	Unknown	[M+H]+		0.667	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	29.2	hyuA_UA_3	104.07035:29450 105.0737:2052 106.07706:0		9260	8120	15928	123446	195140	137436	122787	122116	135354	11102.4168294271	152007.348958333	126752.3203125	4217.42749546701	38002.967333187	7457.04420441924
127	5.669	104.07035	Unknown	[M+H]+		0.333	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	22.18	WT_UA_2	104.07035:22431 105.0737:1252 106.07706:212		3889	2883	2724	124521	38919	99802	129022	127906	89250	3165.42447916667	87747.2747395833	115392.841145833	631.621473179681	44055.7256724177	22646.9136463052
130	5.337	104.07069	Unknown	[M+H]+	similar chromatogram in higher mz_405; similar chromatogram in higher mz_1565; similar chromatogram in higher mz_907; similar chromatogram in higher mz_2609; similar chromatogram in higher mz_2114	1	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	2068.67	hyuA_UA_3	104.07069:1780876 105.07404:92687 106.0774:10412		143530	162789	162825	3924425	5309750	6046056	5801236	4331550	2842193	156381.286458333	5093410.25	4324992.75	11129.3389371653	1077233.47321585	1479532.021468
146	4.486	111.05486	Unknown	[M+H]+		0.222	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	16.53	hyuA_UA_1	111.05486:4603 112.05821:0 113.06157:0		2872	2216	2046	18204	18878	17570	14848	18485	16693	2378.01765950521	18217.5338541667	16675.3473307292	436.206875703646	654.191119322662	1818.39600233064
149	3.916	111.05508	Unknown	[M+H]+		0.444	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	43.05	WT_UA_3	111.05508:20755 112.05843:5323 113.06179:504		12907	10260	13110	58773	68903	60476	49093	59914	67474	12092.5712890625	62717.4869791667	58826.8541666667	1590.46333484876	5424.46230156766	9238.61584516659
150	4.163	111.05511	Unknown	[M+H]+		0.667	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	67.95	hyuA_UA_2	111.05511:33149 112.05846:1779 113.06182:3400		27463	20893	24329	127501	142124	208676	154487	192119	211006	24227.9850260417	159433.65625	185870.34375	3286.15017685404	43267.4453831417	28772.788127973
151	4.058	111.05515	Unknown	[M+H]+		0.667	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	84.64	WT_UA_3	111.05515:37187 112.0585:1622 113.06186:14176		35211	30033	30200	271125	270284	257289	231403	141368	277265	31814.5234375	266232.75	216678.598958333	2942.50024708153	7756.98149520754	69134.8990152034
152	4.309	111.05519	Unknown	[M+H]+		0.778	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	60.11	hyuA_UA_2	111.05519:20519 112.05854:1477 113.0619:655		24179	20107	20736	85496	91558	85736	66938	77856	91310	21674.1796875	87596.6328125	78701.3307291667	2191.96787917486	3433.0758793282	12208.2502639445
153	3.735	111.0552	Unknown	[M+H]+		0.667	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	111.63	hyuA_UA_2	111.0552:37981 112.05855:2902 113.06191:523		23720	23448	27382	276711	420079	383925	349942	273581	414798	24849.95703125	360238.020833333	346107.270833333	2197.29466916308	74561.2833184821	70686.8087222383
156	5.669	112.03683	Unknown	[M+H]+	similar chromatogram in higher mz_758; similar chromatogram in higher mz_944; similar chromatogram in higher mz_3161	1	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	56.07	WT_UA_3	112.03683:31822 113.04018:1170 114.04354:265		12131	11006	12307	42370	42454	39640	41945	43662	85711	11814.6429036458	41487.8815104167	57105.8177083333	706.054139734896	1600.98768389553	24787.4781216469
163	4.084	113.07069	Unknown	[M+H]+	similar chromatogram in higher mz_1634	0.667	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	416.82	hyuA_UA_1	113.07069:91205 114.07404:7072 115.0774:530		2019	1950	1728	264755	247915	238492	261246	257207	247277	1898.87923177083	250386.9375	255243.536458333	152.141972795111	13304.8891587404	7188.57123651457
166	4.021	114.12704	Unknown	[M+H]+		0.111	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	75.42	WT_UA_1	114.12704:3139 115.13039:659 116.13375:1458		596.291357421875	596.291357421875	596.291357421875	6668	5966	5963	8686	7632	7166	0	6198.96435546875	7827.80013020833	0	406.016568299475	778.504717767427
167	2.268	115.04934	Unknown	[M+H]+	similar chromatogram in higher mz_2189	0.667	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	16.49	WT_UA_1	115.04934:7152 116.05269:581 117.05605:551		5485	5282	4962	26571	21365	20248	31523	27182	25947	5243.30598958333	22728.0989583333	28217.3411458333	263.696877158583	3374.42949320488	2928.78576871483
168	1.26	115.04995	Unknown	[M+H]+	similar chromatogram in higher mz_2138	0.667	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	45.3	hyuA_UA_1	115.04995:17229 116.0533:647 117.05666:207		799	362	591	59134	56682	57203	51963	52747	53489	583.91611735026	57672.7252604167	52733.1953125	218.753167584181	1291.7641401059	763.208188103391
171	4.331	115.08641	Unknown	[M+H]+		1	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	183.37	hyuA_UA_3	115.08641:95407 116.08976:6947 117.09312:2945		46962	47309	44282	216073	216098	220030	179162	179296	172456	46184.1380208333	217400.473958333	176971.630208333	1656.43855708414	2277.52949265759	3910.98178118451
174	6.792	116.01062	Unknown	[M+H]+		0.111	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	27.98	WT_UA_3	116.01062:14351 117.01397:0 118.01733:0		8214	5882	5887	6572	31369	1504	1740	19119	128405	6660.80924479167	13148.3573404948	49754.9814860026	1345.25877550683	15981.7915800586	68665.255595154
178	2.824	116.07008	Unknown	[M+H]+	similar chromatogram in higher mz_1049; similar chromatogram in higher mz_4023	0.667	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	14.18	WT_UA_1	116.07008:8483 117.07343:497 118.07679:6137		1320	1526	2247	58288	57325	55442	62256	58422	56352	1697.65270996094	57018.2513020833	59010.0260416667	486.706649393792	1447.48003622375	2995.71433470511
182	4.35	117.10203	Unknown	[M+H]+	similar chromatogram in higher mz_1469	0.667	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	53.72	WT_UA_3	117.10203:10148 118.10538:0 119.10874:810		4803	4900	4672	24502	24517	21724	23878	23609	24689	4791.86588541667	23581.0540364583	24058.7063802083	114.480286831824	1608.47220804602	561.956374902943
198	0.781	118.08607	Unknown	[M+H]+		0.222	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	5.61	hyuA_UA_2	118.08607:26222 119.08942:3098 120.09278:365		12972	10951	12366	63128	91432	92505	64193	74874	85642	12096.3404947917	82354.890625	74902.7330729167	1037.15944735174	16659.4524285114	10724.6684731958
203	4.901	118.08626	Unknown	[M+H]+		0.667	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	144.96	hyuA_UA_2	118.08626:425734 119.08961:26069 120.09297:2795		27720	25441	14212	1150313	1165762	1135185	1005442	1203697	1020213	22457.27734375	1150420.16666667	1076450.79166667	7231.3374550392	15289.2172207722	110445.846535356
204	4.563	118.08729	Unknown	[M+H]+		1	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	1585.68	WT_UA_1	118.08729:5570500 119.09064:617042 120.094:50287		182860	190109	178306	25526202	24712484	24924630	25970702	25406482	24948494	183758.515625	25054438.6666667	25441892.6666667	5952.12875651484	422104.209096916	512023.178480558
226	1.478	119.05177	Unknown	[M+H]+		0.556	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	8.99	WT_UA_1	119.05177:4026 120.05512:459 121.05848:486		59	281	89	11513	11407	11840	13333	11448	12683	143.07719039917	11586.5888671875	12487.732421875	120.570858760277	225.698088094112	957.656597784312
227	1.898	119.08182	Unknown	[M+H]+		0.222	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	7.41	hyuA_UA_1	119.08182:3513 120.08517:649 121.08853:642		1905	1171	1848	12638	11039	12679	14691	13357	13727	1641.40767415365	12118.6686197917	13924.8743489583	408.483269097902	935.214373266293	688.875848562537
240	1.514	123.04726	Unknown	[M+H]+		0.667	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	34.52	hyuA_UA_1	123.04726:8913 124.05061:1774 125.05397:473		5345	6520	5230	36577	34149	34970	30815	28684	26396	5698.15218098958	35231.9479166667	28631.7708333333	714.106269809865	1235.27364622324	2209.98516882355
242	5.213	123.05543	Unknown	[M+H]+		0.111	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	14.92	WT_UA_3	123.05543:3244 124.05878:201 125.06214:263		690	708	619	9485	9207	5479	7095	8953	9284	672.50351969401	8057.08756510417	8443.72477213542	47.2642396890302	2237.10646903414	1179.99091973653
260	5.338	126.05212	Unknown	[M+H]+	similar chromatogram in higher mz_777; similar chromatogram in higher mz_2463; similar chromatogram in higher mz_4027; similar chromatogram in higher mz_3778; similar chromatogram in higher mz_3215; similar chromatogram in higher mz_4188; similar chromatogram in higher mz_835	0.667	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	134.04	WT_UA_3	126.05212:49976 127.05547:2278 128.05883:538		1949	715	454	173195	109164	65248	96922	144810	201767	1039.06682332357	115868.841145833	147833.190104167	798.445837075027	54284.8576931824	52487.8846121802
